,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_39
0,0,486.0,0.208,0.0,0.208,0.208,0.208,0.167,4.960796515
1,1,469.0,0.11,0.0,0.28,0.27,0.06,0.28,3.898357217
2,2,358.0,0.167,0.167,0.167,0.083,0.167,0.25,3.676125583
3,3,477.0,0.11,0.0,0.28,0.29,0.07,0.25,4.053100503
4,4,140.0,0.0,0.267,0.267,0.0,0.267,0.2,1.835258765
5,5,567.0,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.0,5.269169455
6,6,167.0,0.0,0.213,0.213,0.213,0.213,0.15,1.123517358
7,7,494.0,0.217,0.0,0.217,0.217,0.217,0.13,4.820826317
8,8,550.0,0.238,0.05,0.238,0.0,0.238,0.238,6.249675322
9,9,273.0,0.138,0.172,0.172,0.172,0.172,0.172,3.610328235
10,10,538.0,0.179,0.205,0.205,0.0,0.205,0.205,4.445232086
11,11,182.0,0.0,0.238,0.238,0.238,0.05,0.238,1.365853704
12,12,265.0,0.154,0.154,0.154,0.0,0.154,0.385,2.498043221
13,13,423.0,0.182,0.182,0.182,0.182,0.182,0.091,4.663983081
14,14,557.0,0.310344828,0.172413793,0.172413793,0.172413793,0.172413793,0.0,5.021800038
15,15,580.0,0.23,0.15,0.23,0.08,0.15,0.16,6.016001012
16,16,135.0,0.077,0.308,0.0,0.0,0.308,0.308,1.558010879
17,17,624.0,0.384615385,0.153846154,0.153846154,0.153846154,0.153846154,0.0,5.863839455
18,18,441.0,0.1,0.0,0.35,0.24,0.05,0.26,3.846642057
19,19,139.0,0.0,0.25,0.25,0.0,0.25,0.25,1.737015811
20,20,408.0,0.192,0.0,0.192,0.192,0.192,0.231,4.85939469
21,21,629.0,0.28,0.1,0.27,0.1,0.05,0.2,6.702355529
22,22,290.0,0.123,0.0,0.175,0.175,0.175,0.351,2.65832383
23,23,657.0,0.411764706,0.147058824,0.147058824,0.147058824,0.147058824,0.0,6.20379466
24,24,601.0,0.167,0.167,0.25,0.083,0.167,0.167,5.065494099
25,25,392.0,0.167,0.0,0.167,0.167,0.167,0.333,3.719281609
26,26,315.0,0.138,0.0,0.172,0.172,0.172,0.345,3.002103841
27,27,371.0,0.167,0.0,0.556,0.0,0.0,0.278,4.634438599
28,28,604.0,0.2,0.2,0.2,0.1,0.2,0.1,5.337716598
29,29,454.0,0.1,0.0,0.35,0.26,0.05,0.24,3.968688098
30,30,550.0,0.242,0.0,0.152,0.152,0.152,0.303,5.218928728
31,31,171.0,0.0,0.213,0.213,0.213,0.15,0.213,1.186517358
32,32,720.0,0.25,0.25,0.25,0.0,0.25,0.0,6.66720806
33,33,479.0,0.2,0.0,0.2,0.2,0.2,0.2,4.975550559
34,34,620.0,0.1,0.3,0.3,0.0,0.3,0.0,5.511115024
35,35,125.0,0.0,0.333333,0.0,0.0,0.333333333,0.333333333,1.339648974
36,36,548.0,0.225,0.225,0.225,0.0,0.225,0.1,6.154155469
